https://bit.ly/2qTKREN ,I make a salutation to all Victors with a measure of bodies the same as there are atoms in a (Buddha) field, with a mind directed towards all Victors, with the strength of (my) Aspiration for the Good Life,Kṣetra-rajopama-kāyă-pramāṇaiḥ sarva-Jināna karomĭ praṇāmam, sarva-Jinābhimukhena manena, Bhadra-carī-praṇidhāna-balena [2]
https://bitly/2qTKREN ,On the tip of each single atom Buddhas like atoms sit in the midst of the Sons of Buddhas (and) so I am totally and completely intent on the Dharma Element which is filled with Victors,Eka-rajāgri rajopama-Buddhā Buddha-sutāna niṣaṇṇaku madhye evam-aśeṣata Dharmata-dhātuṁ sarvadhimucyami  pūrṇa Jinebhiḥ [3]
https//bitly/2vGxl75, 2 Its deer all asleep in quiet trust its birds tranquilly resting — seeing it he too became restful and he felt as if his end was attained,suptaviśvastahariṇaṁ svasthasthitavihaṁgamam |viśrāṁta iva yaddṛṣṭā kṛtārtha iva cābhavat || 62
https//bitly/2vGxl75, 3 For the sake of ending his wonder and to show reverence for the penances observed and as expressing his own conformity therewith 01 he alighted from the back of his horse,sa vismayanivṛttyarthaṁ tapaḥpūjārthameva ca |svāṁ cānuvartitāṁ rakṣannaśvapṛṣṭhādavātarat || 63
https//bitly/2vGxl75, 4 Having alighted he stroked the horse exclaiming All is saved’ and he spoke well-pleased to Chaṁdaka bedewing him as it were with tears from his eyes ,avatīrya ca pasparśa nistīrṇamiti vājinam |chaṁdakaṁ cābravīt prītaḥ snāpayanniva cakṣuṣā || 64
https//bitly/2vGxl75, 5 Good friend thy devotion to me and thy courage of soul have been proved by thy thus following this steed whose speed is like that of Tārkṣya 02,imaṁ tārkṣyopamajavaṁ turaṁgamanugacchatā |darśitā saumya madbhaktirvikramaścāyamātmanaḥ || 65
https//bitly/2vGxl75, 6 Bent even though I am on other business I am wholly won in heart by thee — one who has such a love for his master and at the same time is able to carry out his wish,sarvathāsmyanyakāryo pi gṛhīto bhavatā hṛdi |bhartṛsnehaśca yasyāyamīdṛśaḥ śakta eva ca || 66
https//bitly/2vGxl75, 7 One can be able without affection and affectionate though unable but one like thee at once affectionate and able is hard to find in the world,asnigdho pi samartho sti niḥsāmarthyo pi bhaktimān |bhaktimāṁscaiva śaktaśca durlabhastvadvidho bhuvi || 67
https//bitly/2vGxl75, 8 I am pleased with this noble action of thine this feeling is seen towards me even though I am regardless of conferring rewards,tatprīto smi tavānena mahābhāgena karmaṇā |dṛśyate mayi bhāvo yaṁ phalebhyo pi parāṅmukhe || 68
https//bitly/2vGxl75, 9 Who would not be favourably disposed to one who stands to him as bringing him reward but even one’s own people commonly become mere strangers in a reverse of fortune 03,ko janasya phalasthasya na syādabhimukho janaḥ |janībhavati bhūyiṣṭhaṁ svajano pi viparyaye || 69
https//bitly/2vGxl75, 10 The son is maintained for the sake of the family the father is honoured for the sake of our own (future) support the world shows kindness for the sake of hope there is no such a thing as unselfishness without a motive,kulārthaṁ dhāryate putraḥ poṣārthaṁ sevyate pitā |āśayāśliṣyati jagannāsti niṣkāraṇāsvatā || 610
https//bitly/2vGxl75, 11 Why speak many words in short thou hast done me a very great kindness take now my horse and return I have attained the desired wood’,kimuktvā bahu saṁkṣepātkṛtaṁ me sumahatpriyam |nivartasvāśvamādāya saṁprāpto smīpsitaṁ vanam || 611
https//bitly/2vGxl75, 12 Thus having spoken the mighty hero in his desire to show perfect gentleness 04 unloosed his ornaments and gave them to the other who was deeply grieved,ityuktvā sa mahābāhuranuśaṁsacikīrṣayā |bhūṣaṇānyavamucyāsmai saṁtaptamanase dadau || 612
https//bitly/2vGxl75, 13 Having taken a brilliant jewel whose effect illumined his diadem he stood uttering these words like the mountain Mandara with the sun resting on it,mukuṭoddīptakarmāṇaṁ maṇimādāya bhāsvaram |bruvan vākyamidaṁ tasthau sāditya iva maṁdaraḥ || 613
https//bitly/2vGxl75, 14 By thee with this jewel O Chaṁda having offered him repeated obeisance the king with his loving confidence still unshaken must be enjoined to stay his grief,anena maṇinā chaṁda praṇamya bahuśo nṛpaḥ |vijñāpyo muktaviśraṁbhaṁ saṁtāpavinivṛttaye || 614
https//bitly/2vGxl75, 15 “I have entered the ascetic-wood to destroy old age and death — with no thirst for heaven with no lack of love nor feeling of anger,jarāmaraṇanāśārthaṁ praviṣṭo smi tapovanam |na khalu svargatarṣeṇa nāsnehena na manyunā || 615
https//bitly/2vGxl75, 16 “Do not think of mourning for me who am thus gone forth from my home union however long it may last in time will come to an end,tadevamabhiniṣkrāṁtaṁ na māṁ śocitumarhasi |bhūtvāpi hi ciraṁ śleṣaḥ kālena na bhaviṣyati || 616
https//bitly/2vGxl75, 17 “Since separation is certain therefore is my mind fixed on liberation how shall there not be repeated severings from one’s kindred,dhruvo yasmācca viśleṣastasmānmokṣāya me matiḥ |viprayogaḥ kathaṁ na syādbhūyo pi svajanādibhiḥ || 617
https//bitly/2vGxl75, 18 “Do not think of mourning for me who am gone forth to leave sorrow behind it is the thralls of passion who are attached to desires the causes of sorrow for whom thou shouldst mourn,śokatyāgāya niṣkrāṁtaṁ na māṁ śocitumarhasi |śokahetuṣu kāmeṣu saktāḥ śocyāstu rāgiṇaḥ || 618
https//bitly/2vGxl75, 19 “This was the firm persuasion of our predecessors — I as one departing by a common road am not to be mourned for by my heir,ayaṁ ca kila pūrveṣāmasmākaṁ niścayaḥ sthiraḥ |iti dāyādabhūtena na śocyo smi pathā vrajan || 619
https//bitly/2vGxl75, 20 “At a man’s death there are doubtless heirs to his wealth but heirs to his merit are hard to find on the earth or exist not at all,bhavaṁti hyarthadāyādāḥ puruṣasya viparyaye |pṛthivyāṁ dharmadāyādā durlabhāstu na saṁti vā || 620
https//bitly/2vGxl75, 21 “Even though thou sayest He is gone at a wrong time to the wood’ — there is no wrong time for religious duty (dharma) life being fragile as it is,yadapi syādasamaye yāto vanamasāviti |akālo nāsti dharmasya jīvite caṁcale sati || 621
https//bitly/2vGxl75, 22 “Therefore my determination is I must seek my supreme good this very day’ what confidence can there be in life when death stands as our adversary,tasmādadyaiva me śreyaścetavyamiti niścayaḥ |jīvite ko hi viśraṁbho mṛtyau pratyarthini sthite || 622
https//bitly/2vGxl75, 23 Do thou address the king O friend with these and such-like words and do thou use thy efforts so that he may not even remember me,evamādi tvayā saumya vijñāpyo vasudhādhipaḥ |prayatethāstathā caiva yathā māṁ na smaredapi || 623
https//bitly/2vGxl75, 24 Yea do thou repeat to the king our utter unworthiness through unworthiness affection is lost — and where affection is lost there is no sorrow’,api nairguṇyamasmākaṁ vācyaṁ narapatau tvayā |nairguṇyāttyajyate snehaḥ snehatyāgānna śocyate || 624
https//bitly/2vGxl75, 25 Having heard these words Chaṁda overwhelmed with grief made reply with folded hands his voice choked by tears ,iti vākyamidaṁ śrutvā chaṁdaḥ saṁtāpaviklavaḥ |vāṣpagrathitayā vācā pratyuvāca kṛtāṁjaliḥ || 625
https//bitly/2vGxl75, 26 At this state of mind of thine causing affliction to thy kindred my mind O my lord sinks down like an elephant in the mud of a river,anena tava bhāvena bāṁdhavāyāsadāyinā |bhartaḥ sīdati me ceto nadīpaṁka iva dvipaḥ || 626
https//bitly/2vGxl75, 27 To whom would not such a determination as this of thine cause tears even if his heart were of iron — how much more if it were throbbing with love,kasya notpādayedvāṣpaṁ niścayaste yamīdṛśaḥ |ayomaye pi hṛdaye kiṁ punaḥ snehaviklave || 627
https//bitly/2vGxl75, 28 Where 05 is this delicacy of limb fit to lie only in a palace — and where is the ground of the ascetic forest covered with the shoots of rough kusa grass,vimānaśayanārhaṁ hi saukumāryamidaṁ kva ca |kharadarbhāṁkuravatī tapovanamahī kva ca || 628
https//bitly/2vGxl75, 29 When on hearing thy resolve I first brought thee this horse — it was fate only O my lord which made me do it mastering my will,śrutvā tu vyavasāyaṁ te yadaśvo yaṁ mayā hṛtaḥ |balātkāreṇa tannātha daivenaivāsmi kāritaḥ || 629
https//bitly/2vGxl75, 30 But how could I O king by mine own will knowing this thy decision — carry back the horse to the sorrow of Kapilavastu,kathaṁ hyātmavaśo jānan vyavasāyamimaṁ tava |upānayeyaṁ turagaṁ śokaṁ kapilavastunaḥ || 630
https//bitly/2vGxl75, 31 Surely thou wilt not abandon O hero that fond old king so devoted to his son as a heretic might the true religion,tannārhasi mahābāho vihātuṁ putralālasam |snigdhaṁ vṛddhaṁ ca rājānaṁ saddharmamiva nāstikaḥ || 631
https//bitly/2vGxl75, 32 And her thy second mother worn with the care of bringing thee up — thou wilt not surely forget her as an ingrate a benefit,saṁvardhanapariśrāṁtāṁ dvitīyāṁ tāṁ ca mātaram |deva nārhasi vismartuṁ kṛtaghna iva satkriyām || 632
https//bitly/2vGxl75, 33 Thou wilt not surely abandon thy queen endowed with all virtues illustrious for her family devoted to her husband and with a young son as a coward the royal dignity within his reach,bālaputrāṁ guṇavatīṁ kulaślāghyāṁ pativratām |devīmarhasi na tyaktuṁ klīvaḥ prāptāmiva śriyam || 633
https//bitly/2vGxl75, 34 Thou wilt not abandon the young son of Yaśodharā worthy of all praise thou the best of the cherishers of religion and fame as a dissolute spendthrift his choicest glory,putraṁ yāśodharaṁ ślāghyaṁ yaśodharmabhṛtāṁ varaḥ |bālamarhasi na tyaktuṁ vyasanīvottamaṁ yaśaḥ || 634
https//bitly/2vGxl75, 35 Or even if thy mind be resolved to abandon thy kindred and thy kingdom thou wilt not O master abandon me — thy feet are my only refuge,atha baṁdhuṁ ca rājyaṁ ca tyaktumeva kṛtā matiḥ |māṁ nārhasi vibho tyaktuṁ tvatpādau hi gatirmama || 635
https//bitly/2vGxl75, 36 I cannot go to the city with my soul thus burning leaving thee behind in the forest as Sumitra 06 left the son of Raghu,nāsmi yātuṁ puraṁ śakto dahyamānena cetasā |tvāmaraṇye parityajya sumitra iva rāghavam || 636
https//bitly/2vGxl75, 37 What will the king say to me returning to the city without thee or what shall I say to thy queens by way of telling them good news,kiṁ hi vakṣyati rājā māṁ tvadṛte nagaraṁ gatam |vakṣyāmyucitadarśitvātkiṁ tavāṁtaḥpurāṇi vā || 637
https//bitly/2vGxl75, 38 As for what thou saidst thou must repeat my unworthiness to the king — how shall I speak what is false of thee as of a sage without a fault,yadapyātthāpi nairguṇyaṁ vācyaṁ narapatāviti |kiṁ tadvakṣyāmyabhūtaṁ te nirdoṣasya muneriva || 638
https//bitly/2vGxl75, 39 Or even if I ventured to speak it with a heart ashamed and a tongue cleaving to my mouth who would think of believing it,hṛdayena salajjena jihvayā sajjamānayā |ahaṁ yadyapi vā brūyāṁ kastacchraddhātumarhati || 639
https//bitly/2vGxl75, 40 He who would tell of or believe the fierceness of the moon might tell of or believe thy faults O physician of faults,yo hi caṁdramasastaikṣṇya kathayecchraddadhīta vā |sa doṣāṁstava doṣajña kathayecchraddadhīta vā || 640
https//bitly/2vGxl75, 41 Him who is always compassionate and who never fails to feel pity it ill befits to abandon one who loves — turn back and have mercy on me’,sānukrośasya satataṁ nityaṁ karuṇavedinaḥ |snigdhatyāgo na sadṛśo nivartasva prasīda me || 641
https//bitly/2vGxl75, 42 Having heard these words of Chaṁda overcome with sorrow — self-possessed with the utmost firmness the best of speakers answered,iti śokābhibhūtasya śrutvā chaṁdasya bhāṣitam |svasthaḥ paramayā dhṛtyā jagāda vadatāṁ varaḥ || 642
https//bitly/2vGxl75, 43 Abandon this distress Chaṁda regarding thy separation from me — change is inevitable in corporeal beings who are subject to different births,madviyogaṁ prati cchaṁda saṁtāpastyajyatāmayam |nānābhāvo hi niyataṁ pṛthagjātiṣu dehiṣu || 643
https//bitly/2vGxl75, 44 Even if I through affection were not to abandon my kindred in my desire for liberation death would still make us helplessly abandon one another,svajanaṁ yadyapi snehānna tyajeyaṁ mumukṣayā |mṛtyuranyonyamavaśānasmān saṁtyājayiṣyati || 644
https//bitly/2vGxl75, 45 She my mother by whom I was borne in the womb with great thirst and pains — where am I now with regard to her all her efforts fruitless and where is she with regard to me,mahatyā tṛṣṇayā duḥkhairgarbheṇāsmi yayā dhṛtaḥ |tasyā niṣphalayatnāyāḥ kvāhaṁ mātuḥ kva sā mama || 645
https//bitly/2vGxl75, 46 As birds go to their roosting-tree and then depart so the meeting of beings inevitably ends in separation,vāsavṛkṣe samāgamya vigacchaṁti yathāṁḍajāḥ |niyataṁ viprayogāṁtastathā bhūtasamāgamaḥ || 646
https//bitly/2vGxl75, 47 As clouds having come together depart asunder again such I consider the meeting and parting of living things,sametya ca yathā bhūyo vyapayāṁti valāhakāḥ |saṁyogo viprayogaśca tathā me prāṇināṁ mataḥ || 647
https//bitly/2vGxl75, 48 And since this world goes away each one of us deceiving the other — it is not right to think anything thine own in a time of union which is a dream,yasmādyāti ca loko yaṁ vipralabhya parasparam |mamatvaṁ na kṣamaṁ tasmātsvapnabhūte samāgame || 648
https//bitly/2vGxl75, 49 Since the trees are parted from the innate colour of their leaves why should there not still more be the parting of two things which are alien to each other,sahajena viyujyaṁte parṇarāgeṇa pādapāḥ |anyenānyasya viśleṣaḥ kiṁ punarna bhaviṣyati || 649
https//bitly/2vGxl75, 50 Therefore since it is so grieve not my good friend but go or if thy love lingers then go and afterwards return,tadevaṁ sati saṁtāpaṁ mā kārṣīḥ saumya gamyatām |laṁbate yadi tu sneho gatvāpi punarāvraja || 650
https//bitly/2vGxl75, 51 Say without reproaching us to the people in Kapilavastu “Let your love for him be given up and hear his resolve,brūyāścāsmāsvanākṣepaṁ janaṁ kapilavastuni |tyajyatāṁ tadgataḥ snehaḥ śrūyatāṁ cāsya niścayaḥ || 651
https//bitly/2vGxl75, 52 “Either he will quickly come back having destroyed old age and death or else he will himself perish having failed in his purpose and lost hold of every support” ,kṣiprameṣyati vā kṛtvā jarāmṛtyukṣayaṁ kila |akṛtārtho nirālaṁbo nidhanaṁ yāsyatīti vā || 652
https//bitly/2vGxl75, 53 Having heard his words Kaṁthaka the noblest of steeds licked his feet with his tongue and dropped hot tears,iti tasya vacaḥ śrutvā kaṁthakasturagottamaḥ |jihvayā lilihe pādau vāṣpamuṣṇaṁ mumoca ca || 653
https//bitly/2vGxl75, 54 With his hand whose fingers were united with a membrane and which was marked with the auspicious svastika and with its middle part curved 07 the prince stroked him and addressed him like a friend,jālinā svastikāṁkena vakramadhyena pāṇinā |āmamarśa kumārastaṁ babhāṣe ca vayasyavat || 654
https//bitly/2vGxl75, 55 Shed not tears Kaṁthaka this thy perfect equine nature has been proved — bear with it this thy labour will soon have its fruit’,muṁca kaṁthaka mā vāṣpaṁ darśiteyaṁ sadaśvatā |mṛṣyatāṁ saphalaḥ śīghraṁ śramaste yaṁ bhaviṣyati || 655
https//bitly/2vGxl75, 56 Then seizing the sharp jewelled sword which was in Chaṁdaka’s hand he resolutely drew out from the sheath the blade decked with golden ornaments like a serpent from its hole,maṇitsaruṁ chaṁdakahastasaṁsthaṁ tataḥ sa dhīro niśitaṁ gṛhītvā |kośādasiṁ kāṁcanabhakticitraṁ vilādivāśīviṣamudbabarha || 656
https//bitly/2vGxl75, 57 Having drawn it forth dark blue like a blue lotus petal he cut his decorated tiara and his hair and he tossed it with its scattered muslin into the air as a grey goose into a lake,niṣkāsya taṁ cotpalapattranīlaṁ ciccheda citraṁ mukuṭaṁ sakeśam |vikīryamāṇāṁśukamaṁtarīkṣe cikṣepa cainaṁ sarasīva haṁsam || 657
https//bitly/2vGxl75, 58 And the heavenly beings with a longing to worship it seized it respectfully as it was thrown up and the divine hosts paid it due adoration in heaven with celestial honours,pūjābhilāṣeṇa ca bāhumānyāddivaukasastaṁ jagṛhuḥ praviddham |yathāvadenaṁ divi devasaṁghā divyairviśeṣairmahayāṁ ca cakruḥ || 658
https//bitly/2vGxl75, 59 Having thus divorced his ornaments and banished all royal magnificence from his head and seeing his muslin floating away like a golden goose the stedfast prince desired a sylvan dress,muktvā tvalaṁkārakalatravattāṁ śrīvipravāsaṁ śirasaśca kṛtvā |dṛṣṭvāṁśukaṁ kāṁcanahaṁsacitram vanyaṁ sa dhīro bhicakāṁkṣa vāsaḥ || 659
https//bitly/2vGxl75, 60 Then a celestial being wearing the form of a hunter pure in heart knowing his thoughts approached near him in dark-red garments and the son of the Śākya king thus addressed him,tato mṛgavyādhavapurdivaukā bhāvaṁ viditvāsya viśuddhabhāvaḥ |kāṣāyavastro bhiyayau samīpaṁ taṁ śākyarājaprabhavo bhyuvāca || 660
https//bitly/2vGxl75, 61 Thy red garments are auspicious the sign of a saint but this destructive bow is not befitting therefore my good friend if there is no strong preference in the matter do thou give me that dress and take this of mine’,śivaṁ ca kāṣāyamṛṣidhvajaste na yujyate hiṁsramidaṁ dhanuśca |tatsaumya yadyasti na saktiratra mahyaṁ prayacchedamidaṁ gṛhāṇa || 661
https//bitly/2vGxl75, 62 The hunter replied It has given me my desire 08 O giver of desires as by this I have inspired animals with confidence and then killed them but if thou hast need of it O thou who art like Indra accept it at once and give me the white dress’,vyādho bravītkāmada kāmamārādanena viśvāsya mṛgān nihatya |arthastu śakropama yadyanena haṁta pratīcchānaya śuklametat || 662
https//bitly/2vGxl75, 63 With extreme joy he then took that sylvan dress and gave away the linen one and the hunter assuming his heavenly form having taken the white garment went to heaven,pareṇa harṣeṇa tataḥ sa vanyaṁ jagrāha vāso ṁśukamutsasarja |vyādhastu divyaṁ vapureva bibhrat tacchuklamādāya divaṁ jagāma || 663
https//bitly/2vGxl75, 64 Then the prince and the attendant of the horse were filled with wonder as he was thus going and forthwith they paid great honour anew to that sylvan dress,tataḥ kumāraśca sa cāśvagopastasmiṁstathā yāti visismiyāte |āraṇyake vāsasi caiva bhūyastasminnakārṣṭāṁ bahumānamāśu || 664
https//bitly/2vGxl75, 65 Then the great-souled one having dismissed the weeping Chaṁda and wearing his fame veiled by the sign of the red garment went towards the hermitage like the king of mountains wrapped in an evening cloud,chaṁdaṁ tataḥ sāśrumukhaṁ visṛjya kāṣāyasaṁvidvṛtakīrtibhṛtsaḥ |yenāśramastena yayau mahātmā saṁdhyābhrasaṁvīta ivādrirājaḥ || 665
https//bitly/2vGxl75, 66 While his master thus regardless of his kingdom was going to the ascetic-wood in mean garments the groom tossing up his arms wailed bitterly and fell on the ground,tatastathā bhartari rājyaniḥspṛhe tapovanaṁ yāti vivarṇavāsasi |bhujau samutkṣipya tataḥ sa vājibhṛdbhṛśaṁ vicukrośa papāta ca kṣitau || 666
https//bitly/2vGxl75, 67 Having looked again he wept aloud and embraced the horse Kaṁthaka with his arms and then hopeless and repeatedly lamenting he went in body to the city not in soul,vilokya bhūyaśca ruroda sasvaraṁ hayaṁ bhujābhyāmupaguhya kaṁthakam |tato nirāśo vilapanmuhurmuhuryayau śarīreṇa puraṁ na cetasā || 667
https//bitly/2vGxl75, 68 Sometimes he pondered sometimes he lamented sometimes he stumbled and sometimes he fell and so going along wretched through his devoted attachment he performed all kinds of actions in the road without conscious will,kvacitpradadhyau vilalāpa ca kvacit kvacitpracaskhāla papāta ca kvacit |ato vrajan bhaktivaśena duḥkhitaścacāra bahvīravaśaḥ pathi kriyāḥ || 668
https//bitly/2jICUB6, 1 Then having left the weeping tear-faced Chaṁda — indifferent to all things in his longing for the forest he by whom all objects are accomplished overpowering the place by his beauty entered that hermitage as if it were fully blessed,tato visṛjyāśrumukhaṁ rudaṁtaṁ chaṁdaṁ vanacchaṁdatayā nirāsthaḥ |sarvārthasiddho vapuṣābhibhūya tamāśramaṁ siddhamiva prapede || 71
https//bitly/2jICUB6, 2 He the prince with a gait like the lion’s having entered that arena of deer himself like a deer — by the beauty of his person even though bereft of his magnificence attracted the eyes of all the dwellers in the hermitage,sa rājasūnurmṛgarājagāmī mṛgājiraṁ tanmṛgavat praviṣṭaḥ |lakṣmīviyukto pi śarīralakṣmyā cakṣūṁṣi sarvāśramiṇāṁ jahāra || 72
https//bitly/2jICUB6, 3 The drivers of wheeled carriages also with their wives stood still in curiosity holding the yokes in their hands — they gazed on him who was like Indra and moved not standing like their beasts of burden with their heads half bent down,sthitā hi hastasthayugāstathaiva kautūhalāccakradharāḥ sadārāḥ |tamiṁdrakalpaṁ dadṛśurna jagmurdhuryā ivārdhāvanataiḥ śirobhiḥ || 73
https//bitly/2jICUB6, 4 And the Brāhmans who had gone outside for the sake of fuel having come with their hands full of fuel flowers and kusa grass — pre-eminent as they were in penances and proficients in wisdom went to see him and went not to their cells,viprāśca gatvā bahiridhmahetoḥ prāptāḥ samitpuṣpapavitrahastāḥ |tapaḥpradhānāḥ kṛtabuddhayo pi taṁ draṣṭumīyurna maṭhānabhīyuḥ || 74
https//bitly/2jICUB6, 5 Delighted the peacocks uttered their cries as if they had seen a dark-blue cloud rising up and leaving the young grass and coming forward the deer with restless eyes and the ascetics who grazed like deer 01 stood still,hṛṣṭāśca kekā mumucurmayūrā dṛṣṭvāṁbudaṁ nīlamivonnamaṁtam |śaṣpāṇi hitvābhimukhāśca tasthurmṛgāścalākṣā mṛgacāriṇaśca || 75
https//bitly/2jICUB6, 6 Beholding him the lamp of the race of Ikṣvāku shining like the rising sun — even though their milking was over being filled with joy the oblation-giving cows poured forth their milk,dṛṣṭvā tamikṣvākukulapradīpaṁ jvalaṁtamudyaṁtamivāṁśumaṁtam |kṛte pi dohe janitapramodāḥ prasusruvurhomaduhaśca gāvaḥ || 76
https//bitly/2jICUB6, 7 It is one of the eight Vasus or one of the two Aśvins descended here’ — these words arose uttered aloud by the sages in their astonishment at seeing him,kaścidvasūnāmayamaṣṭamaḥ syātsyādaśvinoranyataraścyuto tra |ucceruruccairiti tatra vācastaddarśanādvismayajā munīnām || 77
https//bitly/2jICUB6, 8 Like a second form of the lord of the gods 02 like the personified glory of the universe he lighted up the entire wood like the sun come down of his own accord,lekharṣabhasyeva vapurdvitīyaṁ dhāmeva lokasya carācarasya |sa dyotayāmāsa vanaṁ hi kṛtsnaṁ yadṛcchayā sūrya ivāvatīrṇaḥ || 78
https//bitly/2jICUB6, 9 Then he being duly honoured and invited to enter by those dwellers in the hermitage paid his homage to the saints with a voice like a cloud in the rainy season 03,tataḥ sa tairāśramibhiryathāvadabhyarcitaścopanimaṁtritaśca |pratyarcayāṁ dharmabhṛto babhūva svareṇa bhādrāṁbudharopamena || 79
https//bitly/2jICUB6, 10 He the wise one longing for liberation traversed that hermitage filled with the holy company desirous of heaven — gazing at their strange penances,kīrṇaṁ tataḥ puṇyakṛtā janena svargābhikāmena vimokṣakāmaḥ |tamāśramaṁ so nucacāra dhīrastapāṁsi citrāṇi nirīkṣamāṇaḥ || 710
https//bitly/2jICUB6, 11 He the gentle one having seen the different kinds of penance practised by the ascetics in that sacred grove — desiring to know the truth thus addressed one of the ascetics who was following him,tapovikārāṁśca nirīkṣya saumyastapovane tatra tapodhanānām |tapasvinaṁ kaṁcidanuvrajaṁtaṁ tattvaṁ vijijñāsuridaṁ babhāṣe || 711
https//bitly/2jICUB6, 12 Since this to-day is my first sight of a hermitage I do not understand this rule of penance therefore will your honour kindly explain to me what resolve possesses each one of you’,tatpūrvamadyāśramadarśanaṁ me yasmādimaṁ dharmavidhiṁ na jāne |tasmādbhavānarhati bhāṣituṁ me yo niścayo yaṁ prati vaḥ pravṛttaḥ || 712
https//bitly/2jICUB6, 13 Then the Brāhman well-versed in penance told in order to that bull of the Śākyas a very bull in prowess all the various kinds of penance and the fruit thereof,tato dvijātiḥ sa tapovihāraḥ śākyarṣabhāyarṣabhavikramāya |kramena tasmai kathayāṁcakāra tapoviśeṣaṁ tapasaḥ phalaṁ ca || 713
https//bitly/2jICUB6, 14 Uncultivated food growing out of the water leaves water and roots and fruits — this is the fare of the saints according to the sacred texts but the different alternatives of penance vary,agrāmyamannaṁ salilaprarūḍhaṁ parṇāni toyaṁ phalamūlameva |yathāgamaṁ vṛttiriyaṁ munīnāṁ bhinnāstu te te tapasāṁ vikalpāḥ || 714
https//bitly/2jICUB6, 15 Some live like the birds on gleaned corn others graze on grass like the deer others live on air with the snakes as if turned into ant-hills 04,uṁchena jīvaṁti khagā ivānye tṛṇāni kecinmṛgavaccaraṁti |kecidbhujaṁgaiḥ saha vartayaṁti valmīkabhūtā iva mārutena || 715
https//bitly/2jICUB6, 16 Others win their nourishment with great effort from stones others eat corn ground with their own teeth some having boiled for others dress for themselves what may chance to be left,aśmaprayatnārjitavṛttayo nye kecitsvadaṁtāpahatānnabhakṣāḥ |kṛtvā parārthaṁ śrapaṇaṁ tathānye kurvaṁti kāryaṁ yadi śeṣamasti || 716
https//bitly/2jICUB6, 17 Others with their tufts of matted hair continually wet with water twice offer oblations to Agni with hymns others plunging like fishes into the water dwell there with their bodies scratched by tortoises,kecijjalaklinnajaṭākalāpā dviḥ pāvakaṁ juhvati maṁtrapūrvam |mīnaiḥ samaṁ kecidapo vigāhya vasaṁti kūrmollikhitaiḥ śarīraiḥ || 717
https//bitly/2jICUB6, 18 By such penances endured for a time — by the higher they attain heaven by the lower the world of men by the path of pain they eventually dwell in happiness — pain they say is the root of merit’,evaṁvidhaiḥ kālacitaistapobhiḥ parairdivaṁ yāṁtyaparairnṛlokam |duḥkhena mārgeṇa sukhaṁ kṣiyaṁti duḥkhaṁ hi dharmasya vadaṁti mūlam || 718
https//bitly/2jICUB6, 19 The king’s son having heard this speech of the ascetic even though he saw no lofty truth in it 05 was not content but gently uttered these thoughts to himself,ityevamādi dvipadeṁdravatsaḥ śrutvā vacastasya tapodhanasya |adṛṣṭatattvo pi na saṁtutoṣa śanairidaṁ cātmagataṁ jagāda || 719
https//bitly/2jICUB6, 20 The penance is full of pain and of many kinds and the fruit of the penance is mainly heaven at its best and all the worlds are subject to change verily the labour of the hermitages is spent for but little gain,duḥkhātmakaṁ naikavidhaṁ tapaśca svargapradhānaṁ tapasaḥ phalaṁ ca |lokāśca sarve pariṇāmavaṁtaḥ svalpe śramaḥ khalvayamāśramāṇām || 720
https//bitly/2jICUB6, 21 Those who abandoning wealth kindred and worldly objects undertake vows for the sake of heaven — they when parted only wish to go to a still greater wood of their own again 06,śriyaṁ ca baṁdhūn viṣayāṁśca hitvā ye svargahetau niyamaṁ caraṁti |te viprayuktāḥ khalu gaṁtukāmā mahattaraṁ svaṁ vanameva bhūyaḥ || 721
https//bitly/2jICUB6, 22 He who by all these bodily toils which are called penances seeks a sphere of action for the sake of desire — not examining the inherent evils of mundane existence he only seeks pain by pain,kāyaklamairyaśca tapo bhidhānaiḥ pravṛttimākāṁkṣati kāmahetoḥ |saṁsāradoṣānaparīkṣamāṇo duḥkhena so nvicchati duḥkhameva || 722
https//bitly/2jICUB6, 23 There is ever to living creatures fear from death and they with all their efforts seek to be born again where there is action there must inevitably be death — he is always drowned therein just because he is afraid,trāsaśca nityaṁ maraṇātprajānāṁ yatnena cecchaṁti punaḥ prasūtim |satyāṁ pravṛttau niyataśca mṛtyustatraiva magno yata eva bhītaḥ || 723
https//bitly/2jICUB6, 24 Some undergo misery for the sake of this world others meet toil for the sake of heaven all living beings wretched through hope and always missing their aim fall certainly for the sake of happiness into misery,ihārthameke praviśaṁti khedaṁ svargārthamanye śramamāpnuvaṁti |sukhārthamāśākṛpaṇo kṛtārthaḥ patatyanarthe khalu jīvalokaḥ || 724
https//bitly/2jICUB6, 25 It is not the effort itself which I blame — which flinging aside the base pursues a high path of its own but the wise by all this common toil ought to attain that state in which nothing needs ever to be done again,na khalvayaṁ garhita eva yatno yo hīnamutsṛjya viśeṣagāmī |prājñaiḥ samānena pariśrameṇa kāryaṁ tu tadyatra punarna kāryam || 725
https//bitly/2jICUB6, 26 If the mortification of the body here is religion then the body’s happiness is only irreligion but by religion a man obtains happiness in the next world therefore religion here bears irreligion as its fruit,śarīrapīḍā tu yadīha dharmaḥ sukhaṁ śarīrasya bhavatyadharmaḥ |dharmeṇa cāpnoti sukhaṁ paratra tasmādadharmaṁ phalatīha dharmaḥ || 726
